Collector (PI),field_number,Genus,Species,subspecies,needs_confirmation,order,sex,mass (g),date,Country,Department,Municipio,Locality,vereda,reserva,Latitude_Original,Longitude_Original,elevation,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,Ecomorph Notes,lice ages,feather_mites_total,ticks_total,flies_total,fleas_total,others,Column
GAM,NA,Catharus,minimus,,,Passeriformes,U,32.89,Sat Mar 29 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1720,Pipra,erythrocephala,,,Passeriformes,F,11.93,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,0,,,
GAM,B1721,Glyphorynchus,spirurus,,,Passeriformes,U,13.41,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,34",0,,,4,0,0,,,
GAM,B1723,Glyphorynchus,spirurus,,,Passeriformes,U,15.47,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,33",0,,,0,1,0,,,
GAM,5L,Chalybura,buffonii,,cf,Apodiformes,U,,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1716,Dendrocincla,fuliginosa,,,Passeriformes,U,36.81,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1717,Glyphorynchus,spirurus,,,Passeriformes,U,14.06,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1719,Mionectes,oleagineus,,,Passeriformes,U,10.91,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C578,Phaethornis,longirostris,,,Apodiformes,U,7.71,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E726,Mionectes,oleagineus,,,Passeriformes,U,9.87,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Glyphorynchus,spirurus,,,Passeriformes,U,14.51,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Pipra,erythrocephala,,,Passeriformes,M,10.87,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Glyphorynchus,spirurus,,,Passeriformes,U,32.31,Tue Apr 01 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1712,Platyrinchus,coronatus,,,Passeriformes,U,9,Wed Apr 02 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,0,,,
GAM,B1713,Dendrocincla,fuliginosa,,,Passeriformes,U,45.15,Wed Apr 02 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,0,,,
GAM,B1718,Pipra,erythrocephala,,,Passeriformes,M,10.3,Wed Apr 02 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,37,38",1,,,0,0,0,,,
GAM,C575,Platyrinchus,coronatus,,,Passeriformes,U,9.07,Wed Apr 02 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,35,36",1,,,1,0,0,,,
GAM,E733,Catharus,ustulatus,,,Passeriformes,U,33.12,Wed Apr 02 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,41",0,,,0,0,0,,1,
GAM,5R3L,Leptopogon,amaurocephalus,,,Passeriformes,U,10.58,Wed Apr 02 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,5R4L,Phaethornis,longirostris,,,Apodiformes,U,7.4,Wed Apr 02 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E725,Mionectes,oleagineus,,,Passeriformes,U,10.35,Wed Apr 02 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,longirostris,,,Apodiformes,U,7.71,Wed Apr 02 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1584,Glyphorynchus,spirurus,,,Passeriformes,U,12.7,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,0,,,
GAM,B1701,Glyphorynchus,spirurus,,,Passeriformes,U,13.28,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,0,,0,
GAM,B1709,Cyanerpes,caeruleus,,,Passeriformes,U,11.43,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,0,,,
GAM,B1710,Cyanerpes,caeruleus,,,Passeriformes,U,10.71,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,,0,0,,0,
GAM,B1800,Mionectes,oleagineus,,,Passeriformes,U,10.37,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,40",0,,,3,0,0,,0,
GAM,B564,Mionectes,oleagineus,,,Passeriformes,U,9.64,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,0,
GAM,"COLA 1,2R",Mionectes,oleagineus,,,Passeriformes,U,10.3,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,0,,0,
GAM,COLA 6 IZQ,Gymnopithys,leucaspis,,,Passeriformes,U,39.1,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,0,,0,
GAM,COLA 6R,Machaeropterus,regulus,,,Passeriformes,F,9.46,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,0,
GAM,NA,Machaeropterus,regulus,,,Passeriformes,M,9.78,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,39",0,,,0,1,0,,"Springtail, another thing (DIPTERA?)",
GAM,5R2L,Phaethornis,longirostris,,,Apodiformes,U,7.62,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1711,Phaethornis,longirostris,,,Apodiformes,U,7.46,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,longirostris,,,Apodiformes,U,7.53,Thu Apr 03 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B566,Pipra,erythrocephala,,,Passeriformes,F,11.38,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,45",0,,,4,0,0,,,
GAM,B712,Machaeropterus,regulus,,,Passeriformes,M,9.65,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,0,,,
GAM,B713,Glyphorynchus,spirurus,,,Passeriformes,F,13.28,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B715,Pipra,erythrocephala,,,Passeriformes,U,11.83,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,42",0,,,3,0,0,,,
GAM,C557,Myrmeciza,exsul,,,Passeriformes,U,26.87,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,C562,Pipra,erythrocephala,,,Passeriformes,F,11.42,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,C588,Dendrocincla,fuliginosa,,,Passeriformes,U,43.77,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,44",1,,,0,0,0,,,
GAM,C593,Epinecrophylla,fulviventris,,,Passeriformes,F,12.14,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,,,,,,,,,
GAM,D294,Dendrocincla,fuliginosa,,,Passeriformes,F,38.19,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,46",0,,,1,1,0,,,
GAM,3 Izq ; 9 der,Phaethornis,anthophilus,,,Apodiformes,U,5.21,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C598,Dendrocincla,fuliginosa,,,Passeriformes,U,36.67,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E740,Rhynchocyclus,olivaceus,,,Passeriformes,U,,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E742,Catharus,minimus,,,Passeriformes,U,33.99,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,anthophilus,,,Apodiformes,U,5.1,Mon Apr 21 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B717,Catharus,minimus,,,Passeriformes,U,34.18,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B718,Leptopogon,amaurocephalus,,,Passeriformes,U,12.9,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,NA,Parkesia,noveboracensis,,,Passeriformes,U,13.86,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B1725,Leptopogon,amaurocephalus,,,Passeriformes,U,,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B703,Glyphorynchus,spirurus,,,Passeriformes,U,13.29,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B716,Catharus,minimus,,,Passeriformes,U,41.51,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B731,Pipra,erythrocephala,,,Passeriformes,U,12.45,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C502,Leptopogon,amaurocephalus,,,Passeriformes,U,13.97,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C559,Myrmeciza,exsul,,,Passeriformes,U,21.28,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C596,Dendrocincla,fuliginosa,,,Passeriformes,U,41.5,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,D293,Campylorhamphus,trochilirostris,,,Passeriformes,U,37.33,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,striigularis,,,Apodiformes,U,5.23,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,longirostris,,,Apodiformes,U,7.87,Tue Apr 22 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B719,Machaeropterus,regulus,,,Passeriformes,U,9.59,Wed Apr 23 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B720,Rhynchocyclus,olivaceus,,,Passeriformes,U,24.37,Wed Apr 23 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B729,Oncostoma,olivaceus,,,Passeriformes,U,7.51,Wed Apr 23 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B730,Mionectes,oleagineus,,,Passeriformes,U,11.04,Wed Apr 23 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B734,Piprites,chloris,,,Passeriformes,U,18.67,Wed Apr 23 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B1514,Glyphorynchus,spirurus,,,Passeriformes,U,14.23,Wed Apr 23 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B732,Glyphorynchus,spirurus,,,Passeriformes,U,12.85,Wed Apr 23 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C561,Schiffornis,turdina,,,Passeriformes,U,37.34,Wed Apr 23 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,A1,Glyphorynchus,spirurus,,,Passeriformes,U,15.03,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B1516,Machaeropterus,regulus,,,Passeriformes,U,9.76,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B722,Leptopogon,amaurocephalus,,,Passeriformes,U,12.43,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,43",0,,,0,2,0,,,
GAM,C560,Manacus,manacus,,,Passeriformes,U,15.8,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,G303,Dendrocolaptes,sanctithomae,,,Passeriformes,U,85.54,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B1502,Glyphorynchus,spirurus,,,Passeriformes,U,13.88,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1516,Machaeropterus,regulus,,,Passeriformes,U,9.76,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1519,Manacus,manacus,,,Passeriformes,U,16.03,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1520,Glyphorynchus,spirurus,,,Passeriformes,U,14.72,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B721,Machaeropterus,regulus,,,Passeriformes,U,8.94,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B723,Mionectes,oleagineus,,,Passeriformes,U,9.4,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B724,Machaeropterus,regulus,,,Passeriformes,U,9.28,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B725,Pipra,erythrocephala,,,Passeriformes,M,12.44,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C590,Nonnula,frontalis,,,Galbuliformes,U,16.21,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E743,Malacoptila,panamensis,,,Galbuliformes,U,36.86,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,F508,Dendrocolaptes,sanctithomae,,,Passeriformes,U,79.3,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,G398,Geotrygon,montana,,,Columbiformes,U,125.1,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,longirostris,,,Apodiformes,U,8.59,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,longirostris,,,Apodiformes,U,,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Pipra,erythrocephala,,,Passeriformes,U,,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,longirostris,,,Apodiformes,U,,Thu Apr 24 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B726,Pipra,erythrocephala,,,Passeriformes,U,12.29,Fri Apr 25 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B727,Leptopogon,amaurocephalus,,,Passeriformes,U,10.71,Fri Apr 25 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,2R,Phaethornis,longirostris,,,Apodiformes,U,7.3,Fri Apr 25 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B735,Machaeropterus,regulus,,,Passeriformes,U,9.81,Sat Apr 26 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"P4,19",1,,,0,0,0,,,
GAM,B736 AZUL-BLANCO,Pipra,erythrocephala,,,Passeriformes,U,,Sat Apr 26 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,3R 3L,Phaethornis,anthophilus,,,Apodiformes,U,5.18,Sat Apr 26 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C44,Cyanocompsa,cyanoides,,,Passeriformes,U,25.62,Sat Apr 26 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C557,Chloropipo,holochroma,,cf,Passeriformes,U,21.9,Sat Apr 26 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C590,Nonnula,frontalis,,,Galbuliformes,U,14.7,Sat Apr 26 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E713,Schiffornis,turdina,,,Passeriformes,U,36.98,Sat Apr 26 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E744,Schiffornis,turdina,,,Passeriformes,U,36.34,Sat Apr 26 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B728 VERDE- VERDE,Mionectes,oleagineus,,,Passeriformes,U,9.89,Mon Apr 28 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"P4,21",1,,,0,0,0,,,
GAM,B733 AMARILLO-AZUL,Leptopogon,amaurocephalus,,,Passeriformes,M,15.79,Mon Apr 28 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B737,Leptopogon,amaurocephalus,,,Passeriformes,U,13.84,Mon Apr 28 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B738,Pipra,erythrocephala,,,Passeriformes,F,11.09,Mon Apr 28 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B739,Manacus,manacus,,,Passeriformes,F,16.76,Mon Apr 28 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,B740,Glyphorynchus,spirurus,,,Passeriformes,U,11.93,Mon Apr 28 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
GAM,C563,Galbula,ruficauda,,,Galbuliformes,U,23.16,Mon Apr 28 00:00:00 PDT 2014,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,0,0,,,0,0,0,,,
